ts,src_ip,dst_ip,src_port,dst_port,proto,duration,src_bytes,dst_bytes,total_bytes,src_pkts,dst_pkts,total_pkts,bytes_ratio,pkts_ratio,src_mean_pkt_size,dst_mean_pkt_size,bytes_per_sec,pkts_per_sec,dst_port_bucket,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count
1782219403.807,10.18.0.20,172.253.62.95,49891,443,6,0.02,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,6050.0,100.0,0,0,2,0,0,0,0
1782219403.984,0.0.0.0,255.255.255.255,68,67,17,0.0,342,0,342,1,0,1,0.0,0.0,171.0,0.0,342000.0,1000.0,0,0,0,0,0,0,0
1782219404.496,10.18.0.52,224.0.0.251,5353,5353,17,0.0,81,0,81,1,0,1,0.0,0.0,40.5,0.0,81000.0,1000.0,1,0,0,0,0,0,0
1782219404.496,fe80::407:5ec4:a03f:9c28,ff02::fb,5353,5353,17,0.0,101,0,101,1,0,1,0.0,0.0,50.5,0.0,101000.0,1000.0,1,0,0,0,0,0,0
1782219405.827,10.18.0.24,224.0.0.251,5353,5353,17,0.0,86,0,86,1,0,1,0.0,0.0,43.0,0.0,86000.0,1000.0,1,0,0,0,0,0,0
1782219405.827,fe80::18d3:4fc1:a3c7:ce80,ff02::fb,5353,5353,17,0.0,106,0,106,1,0,1,0.0,0.0,53.0,0.0,106000.0,1000.0,1,0,0,0,0,0,0
1782219405.93,10.18.0.76,224.0.0.251,5353,5353,17,12.39,1341,0,1341,3,0,3,0.0,0.0,335.25,0.0,108.23244552058111,0.24213075060532688,1,0,0,0,0,0,0
1782219405.93,fe80::87a:21ac:6a82:bb76,ff02::fb,5353,5353,17,12.39,1401,0,1401,3,0,3,0.0,0.0,350.25,0.0,113.07506053268764,0.24213075060532688,1,0,0,0,0,0,0
1782219407.263,10.18.0.51,224.0.0.251,5353,5353,17,25.701,1472,0,1472,8,0,8,0.0,0.0,163.55555555555554,0.0,57.27403602972647,0.3112719349441656,1,0,0,0,0,0,0
1782219407.263,fe80::812:4c4b:3e55:520e,ff02::fb,5353,5353,17,25.701,1386,0,1386,6,0,6,0.0,0.0,198.0,0.0,53.927862729076686,0.2334539512081242,1,0,0,0,0,0,0
1782219408.55,10.18.0.20,142.251.167.94,62432,443,6,0.101,472,531,1003,5,5,10,1.1226215644820297,0.8333333333333334,78.66666666666667,88.5,9930.69306930693,99.009900990099,0,0,10,0,0,7,0
1782219411.053,10.18.0.20,104.18.15.89,57909,443,6,0.018,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,6722.222222222223,111.11111111111111,0,0,2,0,0,0,0
1782219411.288,10.18.0.20,23.210.138.110,61315,443,6,0.017,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,7117.647058823529,117.6470588235294,0,0,2,0,0,0,0
1782219411.46,10.18.0.20,104.18.15.89,55671,443,6,0.007,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,17285.714285714286,285.7142857142857,0,0,2,0,0,0,0
1782219411.701,10.18.0.20,142.251.163.95,55168,443,6,20.551,302,772,1074,3,5,8,2.547854785478548,1.25,75.5,128.66666666666666,52.26023064571068,0.3892754610481242,0,0,8,0,0,5,0
1782219412.162,10.18.0.20,8.8.4.4,62182,443,6,0.038,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,3184.2105263157896,52.631578947368425,0,0,2,0,0,0,0
1782219412.302,10.18.0.20,64.233.180.84,60762,443,6,0.085,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,1423.5294117647059,23.52941176470588,0,0,2,0,0,0,0
1782219413.877,10.18.0.20,160.79.104.10,51203,443,6,10.214,42566,2219,44785,31,10,41,0.052129583950008225,0.3125,1330.1875,201.72727272727272,4384.668102604269,4.0140982964558445,0,0,41,0,0,6,0
1782219414.606,10.18.0.20,8.8.4.4,52067,443,6,0.018,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,6722.222222222223,111.11111111111111,0,0,2,0,0,0,0
1782219415.657,10.18.0.75,224.0.0.251,5353,5353,17,0.513,217,0,217,2,0,2,0.0,0.0,72.33333333333333,0.0,423.00194931773876,3.898635477582846,1,0,0,0,0,0,0
1782219415.657,fe80::828:875f:e412:479,ff02::fb,5353,5353,17,0.513,257,0,257,2,0,2,0.0,0.0,85.66666666666667,0.0,500.9746588693957,3.898635477582846,1,0,0,0,0,0,0
1782219415.955,10.18.0.20,104.46.162.224,61823,443,6,0.218,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,555.045871559633,9.174311926605505,0,0,2,0,0,0,0
1782219417.909,fe80::cba:a67f:3bc5:7d3b,ff02::fb,5353,5353,17,7.068,3152,0,3152,13,0,13,0.0,0.0,225.14285714285714,0.0,445.95359366157334,1.8392756083757782,1,0,0,0,0,0,0
1782219418.217,10.18.0.68,224.0.0.251,5353,5353,17,6.76,2668,0,2668,12,0,12,0.0,0.0,205.23076923076923,0.0,394.67455621301775,1.7751479289940828,1,0,0,0,0,0,0
1782219419.411,10.18.0.20,160.79.104.10,49670,443,6,0.003,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,40333.333333333336,666.6666666666666,0,0,2,0,0,0,0
1782219421.801,10.18.0.76,10.18.1.255,57621,57621,17,0.0,86,0,86,1,0,1,0.0,0.0,43.0,0.0,86000.0,1000.0,2,0,0,0,0,0,0
1782219422.457,10.18.0.20,160.79.104.10,51797,443,6,0.002,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,60500.0,1000.0,0,0,2,0,0,0,0
1782219423.03,10.18.0.23,224.0.0.251,5353,5353,17,3.994,545,0,545,4,0,4,0.0,0.0,109.0,0.0,136.45468202303454,1.0015022533800702,1,0,0,0,0,0,0
1782219423.03,fe80::c11:2165:3f54:7866,ff02::fb,5353,5353,17,3.994,625,0,625,4,0,4,0.0,0.0,125.0,0.0,156.48472709063594,1.0015022533800702,1,0,0,0,0,0,0
1782219425.605,10.18.0.20,4.174.196.151,56134,443,6,0.061,158,93,251,2,1,3,0.5849056603773585,0.3333333333333333,52.666666666666664,46.5,4114.754098360656,49.18032786885246,0,0,3,0,0,2,0
1782219425.814,10.18.0.28,239.255.255.250,57459,1900,17,0.386,501,0,501,3,0,3,0.0,0.0,125.25,0.0,1297.9274611398964,7.772020725388601,1,0,0,0,0,0,0
1782219428.491,10.18.0.20,8.8.4.4,50513,443,6,0.018,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,6722.222222222223,111.11111111111111,0,0,2,0,0,0,0
1782219430.641,10.18.0.20,104.19.230.21,54649,443,6,0.003,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,40333.333333333336,666.6666666666666,0,0,2,0,0,0,0
1782219430.641,10.18.0.20,104.18.94.41,57305,443,6,0.003,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,40333.333333333336,666.6666666666666,0,0,2,0,0,0,0
1782219432.295,10.18.0.20,104.18.94.41,61001,443,6,0.003,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,40333.333333333336,666.6666666666666,0,0,2,0,0,0,0
1782219432.554,10.18.0.33,224.0.0.251,5353,5353,17,1.024,348,0,348,3,0,3,0.0,0.0,87.0,0.0,339.84375,2.9296875,1,0,0,0,0,0,0
1782219432.554,fe80::1499:ed0b:1de3:efda,ff02::fb,5353,5353,17,0.307,257,0,257,2,0,2,0.0,0.0,85.66666666666667,0.0,837.1335504885993,6.514657980456026,1,0,0,0,0,0,0
1782219432.965,10.18.0.20,104.19.229.21,50793,443,6,0.003,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,40333.333333333336,666.6666666666666,0,0,2,0,0,0,0
1782219433.153,10.18.0.20,104.19.230.21,63351,443,6,0.003,55,66,121,1,1,2,1.1785714285714286,0.5,27.5,33.0,40333.333333333336,666.6666666666666,0,0,2,0,0,0,0
